REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,"Not reported, status of student in Canada",6
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Gender unknown,Canadian students,3
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Gender unknown,International students,0
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,546
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Male gender,International students,48
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Male gender,"Not reported, status of student in Canada",9
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,585
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,International students,45
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,"Not reported, status of student in Canada",9
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Gender unknown,Canadian students,3
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Gender unknown,International students,3
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Other  [12],Male gender,Canadian students,42
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Other  [12],Male gender,"Not reported, status of student in Canada",144
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Other  [12],Female gender,Canadian students,36
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Other  [12],Female gender,"Not reported, status of student in Canada",111
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Unclassified,Male gender,Canadian students,4605
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Unclassified,Male gender,International students,1803
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Unclassified,Male gender,"Not reported, status of student in Canada",981
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Unclassified,Female gender,Canadian students,8193
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Unclassified,Female gender,International students,1191
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Unclassified,Female gender,"Not reported, status of student in Canada",1533
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Unclassified,Gender unknown,Canadian students,9
2018/2019,Ontario,College,Part-time student,Post-secondary non-tertiary education,Unclassified,Gender unknown,"Not reported, status of student in Canada",6
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Education [1],Male gender,Canadian students,9
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Education [1],Female gender,Canadian students,48
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Education [1],Female gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,Canadian students,234
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,International students,27
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,"Not reported, status of student in Canada",0
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Female gender,Canadian students,261
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Female gender,International students,27
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Female gender,"Not reported, status of student in Canada",6
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Gender unknown,Canadian students,6
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Gender unknown,International students,0
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Humanities [3],Male gender,Canadian students,108
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Humanities [3],Male gender,International students,18
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Humanities [3],Male gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Humanities [3],Female gender,Canadian students,318
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Humanities [3],Female gender,International students,27
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Humanities [3],Female gender,"Not reported, status of student in Canada",3
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Humanities [3],Gender unknown,Canadian students,3
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Male gender,Canadian students,186
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Male gender,International students,21
2018/2019,Ontario,College,Part-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Male gender,"Not reported, status of student in Canada",21
